Organism group,Create date,Location
Listeria monocytogenes,2013-12-09T14:02:52Z,MN
Listeria monocytogenes,2013-12-09T14:02:53Z,MN
Listeria monocytogenes,2013-12-09T14:02:53Z,MN
Listeria monocytogenes,2015-11-13T21:18:54Z,NJ
Listeria monocytogenes,2015-11-13T21:18:56Z,NJ
Listeria monocytogenes,2015-11-13T21:18:57Z,NJ
Listeria monocytogenes,2018-03-01T21:43:58Z,NY
Listeria monocytogenes,2018-03-01T23:39:49Z,NY
Listeria monocytogenes,2018-03-01T23:39:50Z,NY
Listeria monocytogenes,2018-03-01T23:39:50Z,NY
Listeria monocytogenes,2018-08-28T00:32:36Z,MI
Listeria monocytogenes,2018-08-13T14:43:55Z,NY
Listeria monocytogenes,2018-08-13T14:43:56Z,NY
Listeria monocytogenes,2018-11-05T23:42:14Z,MI
Listeria monocytogenes,2019-02-16T02:45:56Z,FL
Listeria monocytogenes,2019-03-04T17:24:10Z,FL
Listeria monocytogenes,2019-09-03T18:29:01Z,NY
Listeria monocytogenes,2019-09-04T05:26:56Z,NY
Listeria monocytogenes,2019-11-06T22:31:59Z,KY
Listeria monocytogenes,2020-07-03T05:17:28Z,FL
Listeria monocytogenes,2020-07-03T05:17:29Z,FL
Listeria monocytogenes,2020-07-03T05:17:30Z,FL
Listeria monocytogenes,2021-11-21T02:28:39Z,WA
Listeria monocytogenes,2022-09-09T18:37:55Z,WA
Listeria monocytogenes,2022-11-21T23:39:40Z,NY
Listeria monocytogenes,2022-11-21T23:39:41Z,NY
Listeria monocytogenes,2022-11-21T23:39:41Z,NY
Listeria monocytogenes,2022-11-21T23:39:41Z,NY
Listeria monocytogenes,2022-11-21T23:39:42Z,NY
Listeria monocytogenes,2022-11-21T23:39:42Z,NY
Listeria monocytogenes,2022-11-21T23:39:42Z,NY
Listeria monocytogenes,2022-11-21T23:39:42Z,NY
Listeria monocytogenes,2022-11-21T23:39:43Z,NY
Listeria monocytogenes,2022-12-16T19:37:39Z,MD
Listeria monocytogenes,2022-12-16T19:37:40Z,MD
Listeria monocytogenes,2022-12-16T19:37:40Z,MD
Listeria monocytogenes,2022-12-16T19:37:40Z,MD
Listeria monocytogenes,2022-12-16T19:37:41Z,MD
Listeria monocytogenes,2023-03-09T18:49:22Z,FL
Listeria monocytogenes,2024-04-06T21:50:50Z,NY
Listeria monocytogenes,2024-04-06T21:50:52Z,NY
Listeria monocytogenes,2024-04-06T21:51:01Z,NY
Listeria monocytogenes,2024-04-06T21:51:03Z,NY
Listeria monocytogenes,2024-04-06T21:51:06Z,NY
Listeria monocytogenes,2024-04-06T21:51:06Z,NY
Listeria monocytogenes,2024-04-06T21:51:07Z,NY
Listeria monocytogenes,2024-04-06T21:51:16Z,NY
Listeria monocytogenes,2024-04-06T21:51:18Z,NY
Listeria monocytogenes,2024-04-06T21:51:19Z,NY
Listeria monocytogenes,2024-04-06T21:51:20Z,NY
Listeria monocytogenes,2024-04-06T21:51:22Z,NY
Listeria monocytogenes,2024-04-06T21:51:23Z,NY
Listeria monocytogenes,2024-04-06T21:51:29Z,NY
Listeria monocytogenes,2024-04-06T21:51:35Z,NY
Listeria monocytogenes,2024-04-06T21:51:40Z,NY
Listeria monocytogenes,2024-04-06T21:51:41Z,NY
Listeria monocytogenes,2024-04-06T21:51:50Z,NY
Listeria monocytogenes,2024-04-06T21:51:53Z,NY
Listeria monocytogenes,2024-04-06T21:51:53Z,NY
Listeria monocytogenes,2024-04-06T21:52:02Z,NY
Listeria monocytogenes,2024-06-01T15:10:33Z,FL
Listeria monocytogenes,2024-06-01T15:10:33Z,FL
Listeria monocytogenes,2024-06-01T15:10:33Z,FL
Listeria monocytogenes,2024-06-08T19:59:23Z,FL
Listeria monocytogenes,2024-06-08T19:59:24Z,FL
Listeria monocytogenes,2024-07-01T19:12:00Z,OH
Listeria monocytogenes,2025-03-10T21:24:49Z,NY
Listeria monocytogenes,2025-04-04T22:21:46Z,NY
