Organism group,Create date,Location
Listeria monocytogenes,2016-01-21T16:24:13Z,GA
Listeria monocytogenes,2017-04-03T23:01:50Z,MI
Listeria monocytogenes,2018-04-07T06:38:31Z,GA
Listeria monocytogenes,2018-04-07T07:39:56Z,GA
Listeria monocytogenes,2019-06-28T16:32:15Z,NY
Listeria monocytogenes,2019-07-11T15:32:45Z,NY
Listeria monocytogenes,2019-07-11T15:32:45Z,NY
Listeria monocytogenes,2019-07-12T15:31:40Z,NY
Listeria monocytogenes,2019-07-12T16:34:16Z,NY
Listeria monocytogenes,2019-07-16T15:32:09Z,NY
Listeria monocytogenes,2020-07-07T17:16:57Z,NY
Listeria monocytogenes,2020-07-21T00:15:20Z,NY
Listeria monocytogenes,2020-09-23T14:21:51Z,NY
Listeria monocytogenes,2020-10-06T17:26:05Z,NY
Listeria monocytogenes,2020-11-25T18:27:48Z,NY
Listeria monocytogenes,2020-11-25T18:27:48Z,NY
Listeria monocytogenes,2021-08-17T15:25:54Z,MI
Listeria monocytogenes,2021-08-17T15:25:55Z,MI
Listeria monocytogenes,2021-08-27T21:26:38Z,MI
Listeria monocytogenes,2021-10-04T02:25:34Z,MI
Listeria monocytogenes,2021-10-04T02:25:43Z,MI
Listeria monocytogenes,2021-10-04T02:25:48Z,MI
Listeria monocytogenes,2021-10-04T05:25:54Z,WA
Listeria monocytogenes,2021-10-31T17:29:00Z,WA
Listeria monocytogenes,2021-10-31T17:29:00Z,WA
Listeria monocytogenes,2021-10-31T18:30:21Z,WA
Listeria monocytogenes,2022-03-02T19:34:21Z,ND
Listeria monocytogenes,2022-03-02T19:34:21Z,WY
Listeria monocytogenes,2022-03-02T19:34:23Z,ND
Listeria monocytogenes,2022-03-02T19:34:24Z,ND
Listeria monocytogenes,2023-05-02T22:41:55Z,VT
Listeria monocytogenes,2023-06-05T16:55:13Z,GA
Listeria monocytogenes,2023-07-07T00:54:46Z,WI
Listeria monocytogenes,2023-07-07T00:54:46Z,WI
Salmonella enterica,2015-02-10T23:09:41Z,VA
Salmonella enterica,2015-02-10T21:10:00Z,MN
Salmonella enterica,2015-02-10T21:10:12Z,WA
Salmonella enterica,2015-02-10T21:10:14Z,CO
Salmonella enterica,2015-02-10T21:10:23Z,WA
Salmonella enterica,2014-08-01T21:04:54Z,WA
Salmonella enterica,2014-08-08T20:05:53Z,WA
Salmonella enterica,2014-08-19T19:06:37Z,WA
Salmonella enterica,2014-09-06T06:05:02Z,WA
Salmonella enterica,2015-02-10T20:10:48Z,MN
Salmonella enterica,2016-10-20T19:16:59Z,NY
Salmonella enterica,2017-05-19T13:40:30Z,WI
Salmonella enterica,2017-08-25T17:40:51Z,MN
Salmonella enterica,2018-02-02T23:47:50Z,TX
Salmonella enterica,2018-03-08T19:52:46Z,NY
Salmonella enterica,2018-03-08T19:52:47Z,NY
Salmonella enterica,2018-04-09T22:42:30Z,GA
Salmonella enterica,2018-05-08T16:46:20Z,ID
Salmonella enterica,2019-08-01T15:32:14Z,TX
Salmonella enterica,2018-07-09T16:01:13Z,TX
Salmonella enterica,2018-07-09T16:01:19Z,TX
Salmonella enterica,2018-07-09T16:01:20Z,TX
Salmonella enterica,2018-07-09T16:01:21Z,TX
Salmonella enterica,2019-08-19T16:31:17Z,TX
Salmonella enterica,2018-07-24T19:44:38Z,TX
Salmonella enterica,2018-07-24T19:44:39Z,TX
Salmonella enterica,2018-07-24T19:44:39Z,TX
Salmonella enterica,2018-08-03T23:04:53Z,TX
Salmonella enterica,2018-08-03T23:04:54Z,TX
Salmonella enterica,2018-08-14T16:43:25Z,TX
Salmonella enterica,2018-09-07T04:06:37Z,MN
Salmonella enterica,2019-01-25T15:55:42Z,NJ
Salmonella enterica,2019-01-29T19:57:56Z,NC
Salmonella enterica,2019-03-29T20:59:25Z,ND
Salmonella enterica,2019-08-30T01:50:30Z,IN
Salmonella enterica,2019-12-10T11:27:56Z,NC
Salmonella enterica,2019-12-10T11:27:59Z,NC
Salmonella enterica,2019-12-10T11:28:00Z,NC
Salmonella enterica,2019-12-10T11:28:03Z,NC
Salmonella enterica,2019-12-10T11:28:28Z,NC
Salmonella enterica,2019-12-10T11:28:28Z,NC
Salmonella enterica,2019-12-10T11:28:29Z,NC
Salmonella enterica,2019-12-10T11:28:30Z,NC
Salmonella enterica,2019-12-10T11:28:30Z,NC
Salmonella enterica,2019-12-10T11:28:35Z,NC
Salmonella enterica,2019-12-23T02:27:27Z,NC
Salmonella enterica,2019-12-23T02:27:28Z,NC
Salmonella enterica,2019-12-23T02:27:33Z,NC
Salmonella enterica,2019-12-23T02:27:33Z,NC
