Organism group,Create date,Location
Listeria monocytogenes,2014-03-19T09:03:14Z,TX
Listeria monocytogenes,2014-06-10T21:05:01Z,CA
Listeria monocytogenes,2014-06-23T22:04:37Z,NY
Listeria monocytogenes,2014-06-26T22:04:29Z,FL
Listeria monocytogenes,2014-07-01T19:04:27Z,KY
Listeria monocytogenes,2014-08-12T16:07:11Z,CA
Listeria monocytogenes,2014-08-19T23:04:53Z,LA
Listeria monocytogenes,2014-09-08T23:06:20Z,MS
Listeria monocytogenes,2014-11-28T16:07:35Z,WI
Listeria monocytogenes,2015-03-06T16:08:49Z,CA
Listeria monocytogenes,2015-04-14T21:11:40Z,TN
Listeria monocytogenes,2015-05-15T22:13:36Z,TN
Listeria monocytogenes,2015-07-09T05:16:37Z,NY
Listeria monocytogenes,2015-07-16T14:19:36Z,VA
Listeria monocytogenes,2015-07-16T14:19:37Z,KY
Listeria monocytogenes,2015-08-26T17:10:25Z,IA
Listeria monocytogenes,2015-09-30T15:11:33Z,NC
Listeria monocytogenes,2015-10-14T18:19:33Z,VA
Listeria monocytogenes,2015-10-29T21:17:49Z,RI
Listeria monocytogenes,2015-10-29T21:17:49Z,PA
Listeria monocytogenes,2015-12-28T15:23:36Z,TX
Listeria monocytogenes,2016-01-21T16:24:12Z,ME
Listeria monocytogenes,2016-01-21T16:24:12Z,LA
Listeria monocytogenes,2016-01-21T16:24:14Z,MI
Listeria monocytogenes,2016-01-21T16:24:15Z,GA
Listeria monocytogenes,2016-01-21T16:24:16Z,PA
Listeria monocytogenes,2016-01-21T16:24:17Z,MI
Listeria monocytogenes,2016-01-21T16:24:18Z,CA
Listeria monocytogenes,2016-01-21T16:24:19Z,NJ
Listeria monocytogenes,2016-01-21T16:24:20Z,HI
Listeria monocytogenes,2016-05-20T17:14:46Z,WV
Listeria monocytogenes,2016-05-20T17:14:46Z,WV
Listeria monocytogenes,2016-06-28T19:12:58Z,OH
Listeria monocytogenes,2016-08-05T21:17:17Z,AL
Listeria monocytogenes,2016-11-05T01:18:27Z,IA
Listeria monocytogenes,2016-12-16T16:33:50Z,MT
Listeria monocytogenes,2017-01-18T15:29:38Z,IL
Listeria monocytogenes,2017-02-28T22:28:28Z,NJ
Listeria monocytogenes,2017-04-24T14:53:12Z,IL
Listeria monocytogenes,2017-07-03T19:39:40Z,NY
Listeria monocytogenes,2017-07-03T19:39:40Z,NY
Listeria monocytogenes,2017-07-03T20:39:57Z,NY
Listeria monocytogenes,2017-07-03T20:39:57Z,NY
Listeria monocytogenes,2017-07-03T20:39:57Z,NY
Listeria monocytogenes,2017-07-05T16:47:16Z,IA
Listeria monocytogenes,2017-09-19T21:40:01Z,IN
Listeria monocytogenes,2017-12-14T17:43:13Z,CA
Listeria monocytogenes,2018-01-31T14:45:30Z,IA
Listeria monocytogenes,2018-10-02T19:32:30Z,PR
Listeria monocytogenes,2018-10-02T19:33:17Z,CA
Listeria monocytogenes,2018-10-02T19:33:26Z,IN
Listeria monocytogenes,2018-10-02T19:37:26Z,WI
Listeria monocytogenes,2018-10-15T16:45:14Z,WI
Listeria monocytogenes,2018-10-15T16:45:14Z,WI
Listeria monocytogenes,2018-10-15T16:45:14Z,WI
Listeria monocytogenes,2018-10-15T16:45:15Z,WI
Listeria monocytogenes,2018-10-21T22:03:12Z,IL
Listeria monocytogenes,2018-10-21T22:07:19Z,PA
Listeria monocytogenes,2019-03-18T14:57:45Z,NY
Listeria monocytogenes,2019-03-18T14:57:51Z,NY
Listeria monocytogenes,2019-06-03T20:51:42Z,OH
Listeria monocytogenes,2019-08-02T22:30:41Z,OH
Listeria monocytogenes,2019-08-14T19:33:36Z,WI
Listeria monocytogenes,2019-09-03T18:29:04Z,NY
Listeria monocytogenes,2019-10-28T20:39:21Z,NY
Listeria monocytogenes,2020-11-08T18:23:56Z,IL
Listeria monocytogenes,2020-11-08T18:23:56Z,IL
Listeria monocytogenes,2020-11-08T18:23:57Z,IL
Listeria monocytogenes,2020-11-08T18:23:57Z,IL
Listeria monocytogenes,2020-11-08T18:23:57Z,IL
Listeria monocytogenes,2021-11-08T16:27:37Z,VT
Listeria monocytogenes,2021-11-08T16:27:39Z,VT
Listeria monocytogenes,2021-11-08T17:28:48Z,VT
Listeria monocytogenes,2021-11-08T18:29:29Z,VT
Listeria monocytogenes,2022-01-19T22:37:04Z,VT
Listeria monocytogenes,2022-01-19T22:37:05Z,VT
Listeria monocytogenes,2022-01-19T22:37:05Z,VT
Listeria monocytogenes,2022-01-19T22:37:05Z,VT
Listeria monocytogenes,2022-01-19T22:37:05Z,VT
Listeria monocytogenes,2022-01-19T22:37:06Z,VT
Listeria monocytogenes,2022-01-21T16:58:42Z,VT
Listeria monocytogenes,2022-01-21T16:58:43Z,VT
Listeria monocytogenes,2022-01-21T16:58:44Z,VT
Listeria monocytogenes,2022-01-21T16:58:45Z,VT
Listeria monocytogenes,2022-02-02T18:31:46Z,VT
Listeria monocytogenes,2022-03-18T20:34:18Z,VT
Listeria monocytogenes,2022-03-18T20:34:18Z,VT
Listeria monocytogenes,2022-03-18T20:34:19Z,VT
Listeria monocytogenes,2022-03-18T20:34:19Z,VT
Listeria monocytogenes,2022-03-18T20:34:19Z,VT
Listeria monocytogenes,2022-03-18T20:34:20Z,VT
Listeria monocytogenes,2022-03-18T20:34:21Z,VT
Listeria monocytogenes,2022-03-18T20:34:21Z,VT
Listeria monocytogenes,2022-03-18T21:35:42Z,VT
Listeria monocytogenes,2022-03-18T21:35:42Z,VT
Listeria monocytogenes,2022-03-18T21:35:42Z,VT
Listeria monocytogenes,2022-03-18T21:35:43Z,VT
Listeria monocytogenes,2022-04-09T11:33:10Z,TX
Listeria monocytogenes,2022-05-17T23:47:45Z,VT
Listeria monocytogenes,2022-05-17T23:47:46Z,VT
Listeria monocytogenes,2022-05-17T23:47:47Z,VT
Listeria monocytogenes,2022-05-17T23:47:48Z,VT
Listeria monocytogenes,2022-05-17T23:47:49Z,VT
Listeria monocytogenes,2022-05-17T23:47:50Z,VT
Listeria monocytogenes,2022-05-17T23:47:51Z,VT
Listeria monocytogenes,2022-05-17T23:47:51Z,VT
Listeria monocytogenes,2022-05-17T23:47:52Z,VT
Listeria monocytogenes,2022-05-17T23:47:54Z,VT
Listeria monocytogenes,2022-05-17T23:47:54Z,VT
Listeria monocytogenes,2022-05-17T23:47:56Z,VT
Listeria monocytogenes,2022-05-18T01:42:58Z,VT
Listeria monocytogenes,2022-05-23T16:43:45Z,VT
Listeria monocytogenes,2022-05-23T16:43:45Z,VT
Listeria monocytogenes,2022-06-29T23:37:37Z,VT
Listeria monocytogenes,2022-07-07T22:44:35Z,AL
Listeria monocytogenes,2022-09-23T22:46:37Z,IL
Listeria monocytogenes,2022-11-28T16:46:40Z,KY
Listeria monocytogenes,2022-11-28T16:46:41Z,KY
Listeria monocytogenes,2022-11-29T00:35:57Z,IA
Listeria monocytogenes,2023-01-12T15:45:48Z,VT
Listeria monocytogenes,2023-01-12T15:45:48Z,VT
Listeria monocytogenes,2023-01-12T15:45:48Z,VT
Listeria monocytogenes,2023-01-12T15:45:49Z,VT
Listeria monocytogenes,2023-01-12T15:45:49Z,VT
Listeria monocytogenes,2023-01-12T15:45:49Z,VT
Listeria monocytogenes,2023-01-12T15:45:49Z,VT
Listeria monocytogenes,2023-01-20T21:47:59Z,VT
Listeria monocytogenes,2023-01-20T21:48:00Z,VT
Listeria monocytogenes,2023-01-20T21:48:01Z,VT
Listeria monocytogenes,2023-02-03T17:39:36Z,VT
Listeria monocytogenes,2023-02-03T17:39:36Z,VT
Listeria monocytogenes,2023-09-11T22:58:30Z,IA
Listeria monocytogenes,2023-09-26T23:58:46Z,NY
Listeria monocytogenes,2023-09-26T23:58:52Z,NY
Listeria monocytogenes,2023-12-17T23:57:15Z,CA
Listeria monocytogenes,2023-12-17T23:57:15Z,CA
Listeria monocytogenes,2023-12-17T23:57:15Z,CA
Listeria monocytogenes,2023-12-17T23:57:16Z,CA
Listeria monocytogenes,2023-12-17T23:57:16Z,CA
Listeria monocytogenes,2023-12-25T04:52:13Z,CA
Listeria monocytogenes,2024-03-01T20:22:01Z,FL
Listeria monocytogenes,2024-04-06T21:51:04Z,NY
Listeria monocytogenes,2024-04-06T21:51:08Z,NY
Listeria monocytogenes,2024-04-06T21:51:08Z,NY
Listeria monocytogenes,2024-04-06T21:51:10Z,NY
Listeria monocytogenes,2024-04-06T21:52:01Z,NY
Listeria monocytogenes,2024-05-09T00:06:41Z,MI
Listeria monocytogenes,2024-05-09T00:06:41Z,MI
Listeria monocytogenes,2024-05-20T20:55:27Z,FL
Listeria monocytogenes,2024-06-16T19:49:58Z,NY
Listeria monocytogenes,2024-06-16T19:49:58Z,NY
Listeria monocytogenes,2024-06-16T19:50:00Z,NY
Listeria monocytogenes,2024-06-16T19:50:01Z,NY
Listeria monocytogenes,2024-06-16T19:50:01Z,NY
Listeria monocytogenes,2024-06-16T19:50:01Z,NY
Listeria monocytogenes,2024-06-16T19:50:02Z,NY
Listeria monocytogenes,2024-06-16T20:49:59Z,NY
Listeria monocytogenes,2024-06-16T20:50:00Z,NY
Listeria monocytogenes,2024-06-16T20:50:00Z,NY
Listeria monocytogenes,2024-06-26T07:00:59Z,ID
Listeria monocytogenes,2024-06-26T07:01:01Z,ID
Listeria monocytogenes,2024-06-27T23:51:17Z,WI
Listeria monocytogenes,2024-10-19T01:09:51Z,IL
Listeria monocytogenes,2024-11-09T00:29:48Z,NY
Listeria monocytogenes,2024-11-09T00:29:55Z,NY
Listeria monocytogenes,2024-11-09T02:09:12Z,NY
Listeria monocytogenes,2024-11-25T22:36:56Z,SC
Listeria monocytogenes,2024-11-25T22:36:57Z,SC
Listeria monocytogenes,2024-11-25T22:36:58Z,SC
Listeria monocytogenes,2024-11-25T22:37:00Z,SC
Listeria monocytogenes,2024-11-25T22:37:01Z,SC
Listeria monocytogenes,2025-03-10T21:24:47Z,NY
Listeria monocytogenes,2025-03-10T21:24:49Z,NY
Listeria monocytogenes,2025-03-10T21:24:52Z,NY
Listeria monocytogenes,2025-03-11T21:41:14Z,NY
Listeria monocytogenes,2025-05-03T02:57:21Z,TX
Listeria monocytogenes,2025-05-05T22:36:38Z,NY
Listeria monocytogenes,2025-06-09T20:10:59Z,NY
Listeria monocytogenes,2025-06-12T23:03:25Z,PA
Listeria monocytogenes,2025-09-18T23:37:27Z,IL
Listeria monocytogenes,2025-09-18T23:37:28Z,IL
Listeria monocytogenes,2025-09-18T23:37:30Z,IL
Listeria monocytogenes,2025-09-18T23:37:31Z,IL
Salmonella enterica,2015-02-11T08:07:53Z,NY
Salmonella enterica,2015-02-11T08:07:51Z,MN
Salmonella enterica,2016-12-06T16:31:50Z,MN
Salmonella enterica,2015-02-11T17:09:51Z,NM
Salmonella enterica,2015-07-05T22:14:18Z,NM
Salmonella enterica,2015-02-11T17:09:53Z,TX
Salmonella enterica,2015-02-11T17:09:53Z,TX
Salmonella enterica,2015-02-11T17:09:56Z,TX
Salmonella enterica,2015-02-11T17:10:00Z,TX
Salmonella enterica,2015-02-11T17:09:59Z,TX
Salmonella enterica,2015-02-11T17:10:01Z,TX
Salmonella enterica,2015-02-11T17:09:57Z,MN
Salmonella enterica,2015-02-11T17:09:59Z,MN
Salmonella enterica,2015-12-15T21:22:26Z,MD
Salmonella enterica,2015-02-11T17:10:02Z,MN
Salmonella enterica,2015-02-11T17:10:02Z,MN
Salmonella enterica,2015-02-11T17:10:02Z,MN
Salmonella enterica,2015-02-11T17:10:02Z,MN
Salmonella enterica,2015-02-11T17:10:02Z,MN
Salmonella enterica,2015-02-11T17:10:03Z,MN
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-02-11T17:10:03Z,MN
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-02-11T17:10:03Z,MN
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-02-11T17:10:03Z,MN
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-12-15T21:22:25Z,MN
Salmonella enterica,2015-12-15T21:22:24Z,IA
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-02-11T17:10:04Z,MN
Salmonella enterica,2015-12-12T03:23:13Z,MN
Salmonella enterica,2015-12-12T02:20:15Z,CA
Salmonella enterica,2015-12-12T02:20:14Z,MN
Salmonella enterica,2015-12-12T03:23:12Z,CT
Salmonella enterica,2015-12-12T11:23:10Z,PA
Salmonella enterica,2015-12-12T11:23:10Z,NM
Salmonella enterica,2015-12-12T10:21:36Z,NM
Salmonella enterica,2015-12-14T16:23:02Z,TN
Salmonella enterica,2015-12-12T13:21:08Z,OK
Salmonella enterica,2015-12-12T16:20:59Z,AL
Salmonella enterica,2015-12-12T15:21:44Z,MN
Salmonella enterica,2015-12-12T16:21:00Z,KS
Salmonella enterica,2015-02-11T15:09:14Z,MN
Salmonella enterica,2015-02-11T16:10:26Z,MN
Salmonella enterica,2015-02-11T15:09:16Z,MN
Salmonella enterica,2015-02-11T15:09:17Z,MN
Salmonella enterica,2015-02-11T15:09:15Z,MN
Salmonella enterica,2015-02-11T15:09:16Z,MN
Salmonella enterica,2015-02-11T15:09:15Z,MN
Salmonella enterica,2015-02-11T15:09:16Z,MN
Salmonella enterica,2015-02-11T15:09:18Z,MN
Salmonella enterica,2015-02-11T15:09:16Z,MN
Salmonella enterica,2015-02-11T15:09:18Z,MN
Salmonella enterica,2015-02-11T15:09:18Z,MN
Salmonella enterica,2015-02-11T15:09:17Z,MN
Salmonella enterica,2015-02-11T15:09:18Z,MN
Salmonella enterica,2015-02-11T15:09:18Z,MN
Salmonella enterica,2015-02-11T15:09:19Z,MN
Salmonella enterica,2015-02-11T15:09:19Z,MN
Salmonella enterica,2015-02-11T15:09:20Z,MN
Salmonella enterica,2015-02-11T15:09:20Z,MN
Salmonella enterica,2015-02-11T15:09:19Z,MN
Salmonella enterica,2015-02-11T15:09:20Z,MN
Salmonella enterica,2015-02-11T15:09:20Z,MN
Salmonella enterica,2015-02-11T15:09:20Z,MN
Salmonella enterica,2015-02-11T15:09:19Z,MN
Salmonella enterica,2015-02-11T15:09:21Z,MN
Salmonella enterica,2015-02-11T15:09:21Z,MN
Salmonella enterica,2015-02-11T15:09:21Z,MN
Salmonella enterica,2015-02-11T15:09:21Z,MN
Salmonella enterica,2015-02-11T15:09:20Z,MN
Salmonella enterica,2015-02-11T15:09:21Z,MN
Salmonella enterica,2015-02-11T15:09:21Z,MN
Salmonella enterica,2015-02-11T15:09:21Z,MN
Salmonella enterica,2015-02-11T14:09:19Z,MN
Salmonella enterica,2015-02-11T14:09:19Z,MN
Salmonella enterica,2015-02-11T14:09:19Z,MN
Salmonella enterica,2015-02-11T14:09:20Z,MN
Salmonella enterica,2015-02-11T14:09:20Z,MN
Salmonella enterica,2015-02-11T14:09:19Z,MN
Salmonella enterica,2015-02-11T14:09:20Z,MN
Salmonella enterica,2015-02-11T14:09:19Z,MN
Salmonella enterica,2015-02-11T14:09:19Z,MN
Salmonella enterica,2015-02-11T14:09:20Z,MN
Salmonella enterica,2015-02-11T14:09:19Z,MN
Salmonella enterica,2015-02-11T14:09:21Z,MN
Salmonella enterica,2015-02-11T14:09:23Z,MN
Salmonella enterica,2015-02-11T14:09:23Z,MN
Salmonella enterica,2015-02-11T14:09:23Z,MN
Salmonella enterica,2015-02-11T03:08:35Z,NY
Salmonella enterica,2015-02-11T14:09:24Z,MN
Salmonella enterica,2015-02-11T14:09:24Z,MN
Salmonella enterica,2015-02-11T14:09:24Z,MN
Salmonella enterica,2015-02-11T14:09:24Z,MN
Salmonella enterica,2015-02-11T13:09:23Z,MN
Salmonella enterica,2015-02-11T03:08:35Z,MN
Salmonella enterica,2015-02-11T13:09:23Z,MN
Salmonella enterica,2015-02-11T13:09:24Z,MN
Salmonella enterica,2015-02-11T13:09:23Z,MN
Salmonella enterica,2015-02-11T03:08:35Z,MN
Salmonella enterica,2015-02-11T02:07:37Z,MN
Salmonella enterica,2015-02-11T03:08:36Z,MN
Salmonella enterica,2015-02-11T02:07:37Z,MN
Salmonella enterica,2015-02-11T02:07:37Z,MN
Salmonella enterica,2015-02-11T02:07:37Z,MN
Salmonella enterica,2015-02-11T01:08:55Z,NY
Salmonella enterica,2015-02-11T01:08:58Z,MN
Salmonella enterica,2015-02-11T01:08:59Z,MN
Salmonella enterica,2015-02-11T01:08:59Z,MN
Salmonella enterica,2014-03-27T22:01:48Z,MD
Salmonella enterica,2015-02-11T00:08:08Z,VA
Salmonella enterica,2015-02-11T00:08:12Z,MN
Salmonella enterica,2015-02-11T00:08:11Z,MN
Salmonella enterica,2015-02-11T00:08:11Z,MN
Salmonella enterica,2015-02-11T00:08:11Z,MN
Salmonella enterica,2015-02-11T00:08:12Z,MN
Salmonella enterica,2015-02-11T00:08:11Z,MN
Salmonella enterica,2015-02-11T00:08:12Z,MN
Salmonella enterica,2015-02-11T00:08:12Z,MN
Salmonella enterica,2015-02-11T00:08:11Z,MN
Salmonella enterica,2015-02-11T00:08:13Z,MN
Salmonella enterica,2015-02-11T00:08:12Z,MN
Salmonella enterica,2015-02-11T00:08:14Z,MN
Salmonella enterica,2015-02-10T23:09:38Z,MN
Salmonella enterica,2015-02-11T00:08:14Z,MN
Salmonella enterica,2015-02-11T00:08:14Z,MN
Salmonella enterica,2015-02-11T00:08:15Z,MN
Salmonella enterica,2015-02-10T23:09:41Z,MN
Salmonella enterica,2015-02-10T23:09:41Z,VA
Salmonella enterica,2015-02-10T23:09:42Z,MN
Salmonella enterica,2015-02-10T23:09:43Z,IL
Salmonella enterica,2015-02-10T23:09:42Z,NC
Salmonella enterica,2015-02-10T23:09:42Z,MN
Salmonella enterica,2015-02-10T23:09:43Z,IL
Salmonella enterica,2015-02-10T23:09:44Z,MN
Salmonella enterica,2015-02-10T23:09:45Z,MN
Salmonella enterica,2015-02-10T23:09:44Z,MN
Salmonella enterica,2015-02-10T23:09:45Z,MN
Salmonella enterica,2015-02-10T23:09:44Z,MN
Salmonella enterica,2015-02-10T23:09:45Z,MN
Salmonella enterica,2015-02-10T23:09:45Z,MN
Salmonella enterica,2015-02-10T23:09:44Z,MN
Salmonella enterica,2015-02-10T23:09:45Z,MN
Salmonella enterica,2015-02-10T23:09:44Z,MN
Salmonella enterica,2015-02-10T23:09:45Z,MN
Salmonella enterica,2015-02-10T23:09:44Z,MN
Salmonella enterica,2015-02-10T23:09:44Z,MN
Salmonella enterica,2015-02-10T23:09:44Z,MN
Salmonella enterica,2015-02-10T23:09:43Z,MN
Salmonella enterica,2015-02-10T23:09:45Z,MN
Salmonella enterica,2018-06-26T21:06:49Z,MN
Salmonella enterica,2015-02-10T23:09:44Z,MN
Salmonella enterica,2015-02-10T23:09:45Z,MN
Salmonella enterica,2018-06-26T21:06:49Z,MN
Salmonella enterica,2015-02-10T23:09:43Z,MN
Salmonella enterica,2015-02-10T23:09:44Z,MN
Salmonella enterica,2015-02-10T23:09:45Z,MN
Salmonella enterica,2015-02-10T23:09:43Z,MN
Salmonella enterica,2015-02-10T23:09:45Z,MN
Salmonella enterica,2015-02-10T23:09:45Z,MN
Salmonella enterica,2015-02-10T23:09:44Z,MN
Salmonella enterica,2015-02-10T23:09:44Z,MN
