Organism group,Create date,Location
Listeria monocytogenes,2014-10-04T18:05:29Z,MA
Listeria monocytogenes,2014-11-28T16:07:35Z,MN
Listeria monocytogenes,2015-04-14T21:11:42Z,AZ
Listeria monocytogenes,2015-08-10T22:14:40Z,IL
Listeria monocytogenes,2016-01-21T16:24:18Z,NY
Listeria monocytogenes,2016-01-21T16:24:18Z,NY
Listeria monocytogenes,2016-05-10T00:15:30Z,CA
Listeria monocytogenes,2016-11-15T18:21:48Z,CO
Listeria monocytogenes,2017-05-17T14:52:07Z,WY
Listeria monocytogenes,2018-08-17T20:40:49Z,OH
Listeria monocytogenes,2018-08-29T17:10:10Z,OH
Listeria monocytogenes,2019-02-15T23:21:19Z,NY
Listeria monocytogenes,2019-02-15T23:21:20Z,NY
Listeria monocytogenes,2019-06-28T16:32:14Z,NY
Listeria monocytogenes,2019-06-28T16:32:14Z,NY
Listeria monocytogenes,2019-06-28T16:32:16Z,NY
Listeria monocytogenes,2019-06-28T16:32:16Z,NY
Listeria monocytogenes,2019-06-28T16:32:22Z,NY
Listeria monocytogenes,2019-06-28T16:32:24Z,NY
Listeria monocytogenes,2020-07-07T17:16:50Z,NY
Listeria monocytogenes,2020-07-07T17:16:50Z,NY
Listeria monocytogenes,2020-07-07T17:16:50Z,NY
Listeria monocytogenes,2020-07-07T17:16:52Z,NY
Listeria monocytogenes,2020-07-07T17:16:56Z,NY
Listeria monocytogenes,2020-07-07T17:16:57Z,NY
Listeria monocytogenes,2020-10-19T17:21:29Z,NY
Listeria monocytogenes,2020-10-19T17:21:29Z,NY
Listeria monocytogenes,2020-11-13T17:20:41Z,NY
Listeria monocytogenes,2020-11-13T17:20:44Z,NY
Listeria monocytogenes,2020-11-13T17:20:44Z,NY
Listeria monocytogenes,2020-11-13T17:20:44Z,NY
Listeria monocytogenes,2020-11-14T18:24:52Z,NY
Listeria monocytogenes,2020-11-25T18:27:48Z,NY
Listeria monocytogenes,2021-02-03T15:24:41Z,NY
Listeria monocytogenes,2021-02-03T15:24:41Z,NY
Listeria monocytogenes,2021-02-03T15:24:41Z,NY
Listeria monocytogenes,2021-02-03T15:24:42Z,NY
Listeria monocytogenes,2021-02-03T15:24:42Z,NY
Listeria monocytogenes,2021-02-03T15:24:43Z,NY
Listeria monocytogenes,2021-02-03T15:24:43Z,NY
Listeria monocytogenes,2021-02-03T15:24:43Z,NY
Listeria monocytogenes,2021-02-03T15:24:44Z,NY
Listeria monocytogenes,2021-02-03T15:24:45Z,NY
Listeria monocytogenes,2021-02-03T15:24:45Z,NY
Listeria monocytogenes,2021-02-03T15:24:46Z,NY
Listeria monocytogenes,2021-02-03T15:24:46Z,NY
Listeria monocytogenes,2021-02-03T15:24:46Z,NY
Listeria monocytogenes,2021-02-03T15:24:47Z,NY
Listeria monocytogenes,2021-02-03T16:23:59Z,NY
Listeria monocytogenes,2021-02-03T16:24:00Z,NY
Listeria monocytogenes,2021-02-03T16:24:01Z,NY
Listeria monocytogenes,2021-02-03T16:24:01Z,NY
Listeria monocytogenes,2021-02-03T16:24:03Z,NY
Listeria monocytogenes,2021-02-03T16:24:04Z,NY
Listeria monocytogenes,2021-02-09T16:29:11Z,NY
Listeria monocytogenes,2021-02-11T17:22:31Z,WI
Listeria monocytogenes,2021-02-11T17:22:32Z,WI
Listeria monocytogenes,2021-02-11T17:22:32Z,WI
Listeria monocytogenes,2021-02-11T17:22:33Z,WI
Listeria monocytogenes,2021-02-11T17:22:33Z,WI
Listeria monocytogenes,2021-02-17T18:25:00Z,WI
Listeria monocytogenes,2021-02-17T18:25:01Z,WI
Listeria monocytogenes,2021-02-17T18:25:01Z,WI
Listeria monocytogenes,2021-02-17T18:25:01Z,WI
Listeria monocytogenes,2021-02-17T18:25:01Z,WI
Listeria monocytogenes,2021-02-17T18:25:02Z,WI
Listeria monocytogenes,2021-02-17T18:25:02Z,WI
Listeria monocytogenes,2021-02-17T18:25:02Z,WI
Listeria monocytogenes,2021-02-17T18:25:03Z,WI
