Organism group,Create date,Location
Listeria monocytogenes,2014-01-15T01:03:09Z,GA
Listeria monocytogenes,2014-03-29T21:03:12Z,CA
Listeria monocytogenes,2014-03-29T21:03:12Z,CA
Listeria monocytogenes,2014-03-29T21:03:12Z,CA
Listeria monocytogenes,2014-03-29T21:03:12Z,CA
Listeria monocytogenes,2014-03-29T22:03:15Z,CA
Listeria monocytogenes,2014-03-29T22:03:15Z,CA
Listeria monocytogenes,2014-03-29T22:03:15Z,CA
Listeria monocytogenes,2014-03-29T22:03:15Z,CA
Listeria monocytogenes,2014-03-29T22:03:15Z,CA
Listeria monocytogenes,2014-03-29T22:03:15Z,CA
Listeria monocytogenes,2014-03-29T22:03:15Z,CA
Listeria monocytogenes,2014-03-29T22:03:15Z,CA
Listeria monocytogenes,2014-07-09T15:05:37Z,MD
Listeria monocytogenes,2014-10-04T18:05:28Z,CO
Listeria monocytogenes,2015-03-06T16:08:49Z,MN
Listeria monocytogenes,2015-07-16T14:19:37Z,MD
Listeria monocytogenes,2018-06-26T23:03:38Z,KY
Listeria monocytogenes,2015-09-30T15:11:33Z,TX
Listeria monocytogenes,2015-11-13T21:18:56Z,CA
Listeria monocytogenes,2015-12-21T16:23:52Z,OH
Listeria monocytogenes,2015-12-29T15:22:53Z,GA
Listeria monocytogenes,2016-01-21T16:24:15Z,HI
Listeria monocytogenes,2016-01-21T16:24:17Z,MI
Listeria monocytogenes,2016-01-21T16:24:20Z,WI
Listeria monocytogenes,2016-01-25T19:23:59Z,GA
Listeria monocytogenes,2016-01-25T19:23:59Z,GA
Listeria monocytogenes,2016-02-03T06:25:29Z,NM
Listeria monocytogenes,2016-02-03T06:25:30Z,NM
Listeria monocytogenes,2016-02-03T06:25:30Z,NM
Listeria monocytogenes,2016-07-08T17:15:33Z,PA
Listeria monocytogenes,2016-07-15T17:14:55Z,TX
Listeria monocytogenes,2016-09-30T05:00:31Z,IL
Listeria monocytogenes,2017-01-31T17:30:33Z,MD
Listeria monocytogenes,2017-01-31T17:30:33Z,MD
Listeria monocytogenes,2017-05-11T19:42:04Z,OH
Listeria monocytogenes,2017-08-11T05:21:23Z,MA
Listeria monocytogenes,2017-08-11T05:21:25Z,MA
Listeria monocytogenes,2017-11-21T18:38:46Z,WI
Listeria monocytogenes,2017-11-21T18:38:46Z,WI
Listeria monocytogenes,2017-11-21T19:38:22Z,WI
Listeria monocytogenes,2018-08-17T21:41:40Z,OH
Listeria monocytogenes,2018-08-29T17:10:04Z,OH
Listeria monocytogenes,2018-10-02T19:33:06Z,CA
Listeria monocytogenes,2018-10-02T19:33:09Z,TX
Listeria monocytogenes,2019-03-04T17:24:01Z,FL
Listeria monocytogenes,2019-03-05T20:58:03Z,FL
Listeria monocytogenes,2019-07-11T15:32:45Z,NY
Listeria monocytogenes,2019-07-11T15:32:45Z,NY
Listeria monocytogenes,2019-11-30T13:30:22Z,NY
Listeria monocytogenes,2020-02-25T19:17:54Z,IL
Listeria monocytogenes,2020-09-16T16:25:13Z,WI
